TituloObra;Artista;AñoNacimiento;AñoMuerte;Movimiento;Museo
Plate (folio 7) from Phantastische Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
Tailpiece (back cover) from Phantastische Gebete;Hans Arp;1886;1966;Surrealismo;MOMA
Composition (plate, page 39) from Feuilles éparses;Hans Arp;1886;1966;Surrealismo;MOMA
THE CATHEDRAL IS A HEART (plate, folio 7) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
WHAT'S THAT? (plate, folio 9) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
TOWARDS THE INFINITE WHITE (plate, folio 12) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
THROUGH THE MYRTLES OF THE DREAM (plate, folio 14) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
THE MASTER NAILER (plate, folio 16) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
PRECIPICE (plate, folio 18) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
DOLL (plate, folio 20) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
A WHITE WAVE (plate, folio 22) from VERS LE BLANC INFINI;Hans Arp;1886;1966;Surrealismo;MOMA
THE NAVEL MOUNTAIN AND THE MOUNTAINS (plate, folio 6) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
WHERE IS ABOVE, WHERE IS BELOW? (plate, folio 15) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
THE LEAF TURNS INTO A TORSO (plate, folio 7) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
THE TORSO TURNS INTO A VASE (plate, folio 8) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
AN EARTHLY LETTER (plate, folio 9) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
THE NAVEL (plate, folio 10) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
FROM A NAVEL BEGOTTEN (plate, folio 11) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
I DREAM OF THE FLYING SKULL (plate, folio 12) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
THE CELESTIAL WINDOW (plate, folio 13) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
I DREAM OF THE NAVEL GATE AND THE TWO BIRDS THAT FORM THE GATE (plate, folio 14) from ELEMENTE;Hans Arp;1886;1966;Surrealismo;MOMA
Frontispiece from LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 19) from LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 23) from LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 31) from LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 35) from LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (page 39) from LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
Wrapper front from LE VOILIER DANS LA FORÊT;Hans Arp;1886;1966;Surrealismo;MOMA
Before the Battle of Hastings from Le Surréalisme en 1947;Hans Arp;1886;1966;Surrealismo;MOMA
After the Battle of Hastings from Le Surréalisme en 1947;Hans Arp;1886;1966;Surrealismo;MOMA
Siamese Leaf from Onze Peintres: Taeuber, Kandinsky, Leuppi, Vordemberge, Arp, Delaunay, Schwitters, Kiesler, Morris, Magnelli, Ernst;Hans Arp;1886;1966;Surrealismo;MOMA
Cover from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 24) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Tailpiece (folio 25 verso, duplicate of folio 26 verso woodcut) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Tailpiece (folio 26 verso, duplicate of folio 25 verso woodcut) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Title-page from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 3) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 5, duplicate of folio 3 woodcut) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 10, duplicate of folio 12 woodcut) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 15) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 17) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 22) from Vingt-cinq poèmes;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 4) from 10 ORIGIN;Hans Arp;1886;1966;Surrealismo;MOMA
Frontispiece from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Cinéma calendrier du coeur abstrait, Maisons (Cinema Calendar of the Abstract Heart, Houses);Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 20) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 22) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 24) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 26) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 28) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 30) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 32) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 34) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 36) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 38) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 4) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 6) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 8) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 10) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 12) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 14) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 16) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Plate (folio 18) from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration I  from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration X from the illustrated book 11Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration XI from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Cover from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
CONFIGURATION (unbound supplementary plate) from 11 CONFIGURATIONS;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration II from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration III from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration IV from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration V  from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration VI from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration VII from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration VIII from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration IX from the illustrated book 11 Configurations;Hans Arp;1886;1966;Surrealismo;MOMA
DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PLACED ACCORDING TO THE LAWS OF CHANCE, plate 1 (page 19) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PLACED ACCORDING TO THE LAWS OF CHANCE, plate 2 (page 23) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PLACED ACCORDING TO THE LAWS OF CHANCE, plate 3 (double-page, pages 26-27) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
FLOWER FIGURE, FALL, plate 4 (Page 31) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
CONFIGURATION, OPPRESSION, plate 5 (page 35) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
SILENT TENSION, plate 6 (page 39) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
NAVEL, plate 7 (page 43) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
BLACK PROFILE ON GRAY FACE, plate 8 (page 47) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
CONSTELLATION, plate 9 (page 51) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
CONSTELLATION, plate 10 (page 55) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
STAY-AT-HOME OBJECTS, plate 11 (page 59) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
WARLIKE SPHINX, plate 12 (page 63) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
EVIL OMEN, plate 13 (page 67) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
FORM HEARD AND SEEN, plate 14 (page 71) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: SOLAR BREAD, plate 15 (page 75) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: SOLAR BREAD, TELESCOPE, plate 16 (page 79) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: PLANT-PERSONAGE, plate 17 (page 83) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: HAT, MOUTH, NAVEL-EYES, plate 18 (page 87) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MASK OF PHILOSOPHY, plate 19 (page 91) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PREADAMITE PERSONAGE, plate 20 (page 95) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
WIND CONTOUR, plate 21 (page 99) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
DROLE PLANT, plate 22 (page 103) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
SNAKE GEOMETRY, plate 23 (double-page, pages 106- 107) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
HEAD WITH SEISMIC LINE, plate 24 (page 111) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
HEAD WITH SEISMIC LINE, plate 25 (page 115) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MIRAGE OF A VOICE, plate 26 (page 119) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MIRAGE OF A VOICE, plate 27 (page 123) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
FRAGMENT OF A FLOWER-BED, plate 28 (double page, pages 126 and 127) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PLACED ACCORDING TO THE LAWS OF CHANCE, plate 1 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PLACED ACCORDING TO THE LAWS OF CHANCE, plate 2 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PLACED ACCORDING TO THE LAWS OF CHANCE, plate 3 (double-page, supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
FLOWER FIGURE, FALL, plate 4 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
CONFIGURATION, OPPRESSION, plate 5 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
SILENT TENSION, plate 6 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
NAVEL, plate 7 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
BLACK PROFILE ON GRAY FACE, plate 8 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
CONSTELLATION, plate 9 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
CONSTELLATION, plate 10 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
STAY-AT-HOME OBJECTS, plate 11 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
WARLIKE SPHINX, plate 12 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
EVIL OMEN, plate 13 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
FORM HEARD AND SEEN, plate 14 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: SOLAR BREAD, plate 15 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: SOLAR BREAD, TELESCOPE, plate 16 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: PLANT-PERSONAGE, plate 17 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MYTHICAL PROJECT: HAT, MOUTH, NAVEL-EYES, plate 18 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MASK OF PHILOSOPHY, plate 19 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
PREADAMITE PERSONAGE, plate 20 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
WIND CONTOUR, plate 21 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
DROLE PLANT, plate 22 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
SNAKE GEOMETRY, plate 23 (double-page, supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
HEAD WITH SEISMIC LINE, plate 24 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
HEAD WITH SEISMIC LINE, plate 25 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MIRAGE OF A VOICE, plate 26 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
MIRAGE OF A VOICE, plate 27 (supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
FRAGMENT OF A FLOWER-BED, plate 28 (double page, supplementary suite) from DREAMS AND PROJECTS;Hans Arp;1886;1966;Surrealismo;MOMA
FISH (frontispiece) from BEHAARTE HERZEN, 1923-1926, KÖNIGE VOR DER SINTFLUT, 1952-1953;Hans Arp;1886;1966;Surrealismo;MOMA
Hans Arp: Behaarte Herzen 1923-1926;Hans Arp;1886;1966;Surrealismo;MOMA
MUSSEL FACE (unbound supplementary woodcut) from BEHAARTE HERZEN, 1923-1926, KÖNIGE VOR DER SINTFLUT, 1952-1953;Hans Arp;1886;1966;Surrealismo;MOMA
Title page from Poésie de mots inconnus;Hans Arp;1886;1966;Surrealismo;MOMA
NO KNOWING, plate VIII (folio 32 verso) from UN POÈME DANS CHAQUE LIVRE;Hans Arp;1886;1966;Surrealismo;MOMA
CONSTELLATION, plate 1 from ART D'AUJOURD'HUI, MAÎTRES DE L'ART ABSTRAIT: Album I;Hans Arp;1886;1966;Surrealismo;MOMA
Mountain, Navel, Anchors, Table;Hans Arp;1886;1966;Surrealismo;MOMA
Automatic Drawing;Hans Arp;1886;1966;Surrealismo;MOMA
Untitled (Collage with Squares Arranged according to the Laws of Chance);Hans Arp;1886;1966;Surrealismo;MOMA
Untitled (Squares Arranged according to the Laws of Chance);Hans Arp;1886;1966;Surrealismo;MOMA
Arp: Behaarte Herzen 1923-26, Könige vor der Sintflut;Hans Arp;1886;1966;Surrealismo;MOMA
Constellation;Hans Arp;1886;1966;Surrealismo;MOMA
Form;Hans Arp;1886;1966;Surrealismo;MOMA
Nude;Hans Arp;1886;1966;Surrealismo;MOMA
The Sea (Das Meer), plate 2 from the portfolio Merz 5. 7 Arpaden von Hans Arp. Arp Mappe. Zweite Mappe des Merzverlages;Hans Arp;1886;1966;Surrealismo;MOMA
A Navel (Ein Nabel), plate 3 from 7 Arpaden von Hans Arp;Hans Arp;1886;1966;Surrealismo;MOMA
Die Nabelflasche (The Navel Bottle), plate 4 from the portfolio Merz 5. 7 Arpaden von Hans Arp. Arp Mappe. Zweite Mappe des Merzverlages;Hans Arp;1886;1966;Surrealismo;MOMA
Schnurruhr (Mustache Watch), plate 5 from the 7 Arpaden von Hans Arp;Hans Arp;1886;1966;Surrealismo;MOMA
Eierschläger (Egg Beater), plate 6 from 7 Arpaden von Hans Arp;Hans Arp;1886;1966;Surrealismo;MOMA
Arabische Acht (Arabic Eight)from 7 Arpaden;Hans Arp;1886;1966;Surrealismo;MOMA
Configuration;Hans Arp;1886;1966;Surrealismo;MOMA
Two Heads;Hans Arp;1886;1966;Surrealismo;MOMA
Rug;Hans Arp;1886;1966;Surrealismo;MOMA
Man at a Window;Hans Arp;1886;1966;Surrealismo;MOMA
Leaves and Navels;Hans Arp;1886;1966;Surrealismo;MOMA
Human Concretion;Hans Arp;1886;1966;Surrealismo;MOMA
Leaves and Navels, I;Hans Arp;1886;1966;Surrealismo;MOMA
Objects Arranged According to the Law of Chance;Hans Arp;1886;1966;Surrealismo;MOMA
Two Heads;Hans Arp;1886;1966;Surrealismo;MOMA
Hand;Hans Arp;1886;1966;Surrealismo;MOMA
Floral Nude;Hans Arp;1886;1966;Surrealismo;MOMA
Bell and Navels;Hans Arp;1886;1966;Surrealismo;MOMA
Birds in an Aquarium;Hans Arp;1886;1966;Surrealismo;MOMA
Human Concretion;Hans Arp;1886;1966;Surrealismo;MOMA
Ptolemy;Hans Arp;1886;1966;Surrealismo;MOMA
Constellation;Hans Arp;1886;1966;Surrealismo;MOMA
Constellation with Five White and Two Black Forms: Variation 2;Hans Arp;1886;1966;Surrealismo;MOMA
Pre-Adamite Doll;Hans Arp;1886;1966;Surrealismo;MOMA
The Crystal;Hans Arp;1886;1966;Surrealismo;MOMA
Sculpture of Silence;Hans Arp;1886;1966;Surrealismo;MOMA
Silent;Hans Arp;1886;1966;Surrealismo;MOMA
Helmet Head, I;Hans Arp;1886;1966;Surrealismo;MOMA
Enak's Tears (Terrestrial Forms);Hans Arp;1886;1966;Surrealismo;MOMA
Figures de hazard sur papier dechiré;Hans Arp;1886;1966;Surrealismo;MOMA
Portfolio Cover from 7 Arpaden;Hans Arp;1886;1966;Surrealismo;MOMA
Table of Contents from 7 Arpaden;Hans Arp;1886;1966;Surrealismo;MOMA
Hans Arp Liest Hans Arp;Hans Arp;1886;1966;Surrealismo;MOMA
Tea Glass with Saucer and Stirrer;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Coffee Table;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Fruit Bowl;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Bauhaus Lettering Set (Kombinations-Schrift);Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Armchair (model ti 244);Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Formulation: Articulation;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume 1, folio 8 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 9) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 11) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 12 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 13) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 15) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate from Formulation: Articulation, Plate (volume I, folio 16 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate from Formulation: Articulation, Plate (volume I, folio 17) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Two plates (volume I, folio 18 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Two plates (volume I, folio 19) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 20 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 21) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 23) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 24 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 25) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 27) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 28 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 29) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 30 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 31) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 32 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 33) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 35) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
Plate (volume I, folio 36 verso) from FORMULATION: ARTICULATION;Josef Albers;1888;1976;Expresionismo Abstracto;MOMA
